LenderAmountCred,LenderAmountCred30,LenderAmountDeb,LenderAmountDeb30,LenderCountCred,LenderCountCred30,LenderCountDeb,LenderCountDeb30,LoanId,UniqLenderCount
400.0,400.0,-129.95,0.0,1.0,1.0,1.0,0.0,97625959367.0,2.0
625.0,400.0,-981.1300000000001,-941.1300000000001,3.0,2.0,6.0,5.0,67596298284.0,3.0
3850.0,1700.0,-8290.67,-2964.58,6.0,2.0,28.0,10.0,19631691195.0,6.0
0.0,0.0,-1073.6000000000001,-203.61,0.0,0.0,6.0,1.0,18637576397.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79663682865.0,0.0
2175.7799999999997,0.0,-983.7800000000001,-151.02,3.0,0.0,5.0,1.0,52614811193.0,5.0
465.74,465.74,-1197.0700000000002,-426.90000000000003,1.0,1.0,11.0,3.0,83594315718.0,3.0
1700.0,600.0,-3080.16,-1412.8799999999999,3.0,1.0,8.0,3.0,89619340479.0,2.0
2500.0,1700.0,-647.76,-409.96,4.0,3.0,6.0,4.0,44596138312.0,5.0
0.0,0.0,-919.7,-367.88,0.0,0.0,5.0,2.0,19661753932.0,1.0
1550.0,1400.0,-745.9399999999999,-595.9399999999999,2.0,1.0,6.0,5.0,54628821033.0,3.0
400.0,0.0,-2098.41,-780.5999999999999,1.0,0.0,13.0,5.0,66607652248.0,3.0
500.0,500.0,-16.87,0.0,1.0,1.0,1.0,0.0,70614774623.0,2.0
600.0,600.0,0.0,0.0,1.0,1.0,0.0,0.0,10636869423.0,1.0
0.0,0.0,-86.27000000000001,0.0,0.0,0.0,2.0,0.0,68647183290.0,1.0
0.0,0.0,-1604.97,-676.49,0.0,0.0,3.0,1.0,69637700733.0,2.0
1500.0,300.0,-4166.03,-1368.5299999999997,5.0,1.0,33.0,10.0,61610649135.0,9.0
890.0,0.0,-290.16999999999996,-290.16999999999996,2.0,0.0,5.0,5.0,85661501959.0,4.0
0.0,0.0,-805.33,-268.44,0.0,0.0,6.0,2.0,34583224137.0,1.0
400.0,400.0,-486.67,-486.67,1.0,1.0,1.0,1.0,75661022646.0,2.0
400.0,400.0,-122.9,-122.9,1.0,1.0,1.0,1.0,33623603854.0,1.0
0.0,0.0,-1306.3799999999999,-435.46,0.0,0.0,6.0,2.0,73593812649.0,1.0
0.0,0.0,-517.84,-174.28,0.0,0.0,5.0,2.0,49580068252.0,2.0
400.0,0.0,-274.0,-274.0,1.0,0.0,2.0,2.0,25586661527.0,2.0
0.0,0.0,-362.31,0.0,0.0,0.0,4.0,0.0,29588425663.0,1.0
400.0,400.0,-316.65,-126.66,1.0,1.0,5.0,2.0,94589701177.0,2.0
2200.0,2200.0,-356.61,-356.61,3.0,3.0,2.0,2.0,24627658892.0,2.0
175.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,74642714394.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31639427776.0,0.0
400.0,0.0,-521.33,0.0,1.0,0.0,1.0,0.0,28625732118.0,1.0
0.0,0.0,-1276.25,-448.75,0.0,0.0,12.0,4.0,71639148450.0,2.0
600.0,600.0,0.0,0.0,1.0,1.0,0.0,0.0,85602342895.0,1.0
4670.0,0.0,-2535.44,-871.95,10.0,0.0,34.0,13.0,43614959847.0,11.0
600.0,0.0,-180.24,0.0,1.0,0.0,1.0,0.0,33610888554.0,1.0
1350.0,850.0,-1758.0700000000002,-673.28,4.0,3.0,10.0,4.0,99580580713.0,4.0
4875.0,1625.0,-6082.46,-2041.96,21.0,7.0,27.0,8.0,17594096119.0,10.0
850.0,850.0,-363.24,-60.54,1.0,1.0,6.0,1.0,29640447160.0,2.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78650382112.0,0.0
500.0,0.0,-455.05,-91.01,1.0,0.0,5.0,1.0,17665314997.0,1.0
500.0,500.0,-435.78999999999996,-245.79,1.0,1.0,4.0,2.0,20596295981.0,2.0
655.0,0.0,-668.6,-184.3,2.0,0.0,5.0,2.0,23642516319.0,3.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98653144241.0,0.0
1525.0,1525.0,-90.0,-90.0,3.0,3.0,1.0,1.0,47615433568.0,3.0
1278.84,1075.0,0.0,0.0,3.0,1.0,0.0,0.0,42618258641.0,2.0
0.0,0.0,-192.51999999999995,-134.48,0.0,0.0,14.0,10.0,86658753632.0,1.0
1000.0,1000.0,-173.4,-173.4,1.0,1.0,2.0,2.0,45618578270.0,2.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43584836731.0,0.0
890.66,215.49,-1376.77,-300.9599999999999,2.0,1.0,24.0,6.0,33663613517.0,4.0
500.0,500.0,-4040.1899999999996,-1648.98,2.0,2.0,22.0,8.0,48632981426.0,4.0
400.0,0.0,-770.89,-372.03,1.0,0.0,9.0,5.0,26666966291.0,2.0
1871.8400000000001,1700.0,-3197.8199999999997,-200.33,4.0,2.0,16.0,1.0,33634723835.0,5.0
300.0,300.0,-319.07,-319.07,1.0,1.0,1.0,1.0,44656175050.0,1.0
1250.0,1250.0,-72.69,-72.69,2.0,2.0,1.0,1.0,44602446585.0,3.0
1400.0,900.0,-621.05,-325.19,3.0,2.0,5.0,3.0,71643781330.0,3.0
500.0,500.0,-1467.9499999999998,-455.66999999999996,1.0,1.0,7.0,3.0,87603078092.0,3.0
6250.0,2400.0,-7485.49,-1149.4499999999998,7.0,3.0,22.0,7.0,24631177416.0,8.0
0.0,0.0,-735.75,-178.0,0.0,0.0,8.0,2.0,54581395611.0,2.0
12679.550000000001,3967.24,-880.3299999999999,-636.13,6.0,2.0,3.0,2.0,18625914317.0,4.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12588966613.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28661702356.0,0.0
350.0,0.0,-275.15999999999997,-228.94,1.0,0.0,3.0,2.0,58627201939.0,2.0
450.0,450.0,-212.28000000000003,-212.28000000000003,1.0,1.0,3.0,3.0,60584229262.0,2.0
1950.0,1950.0,0.0,0.0,3.0,3.0,0.0,0.0,91609743933.0,3.0
3225.0,700.0,-902.24,-643.68,2.0,1.0,3.0,2.0,23583383639.0,3.0
750.0,750.0,0.0,0.0,3.0,3.0,0.0,0.0,20602335113.0,3.0
300.0,300.0,0.0,0.0,1.0,1.0,0.0,0.0,81633785379.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24619985667.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21659433662.0,0.0
1000.0,500.0,-614.33,-306.28,2.0,1.0,6.0,3.0,21637388648.0,3.0
2100.0,1100.0,-1775.1200000000001,-854.1700000000001,3.0,2.0,14.0,7.0,16664311337.0,4.0
260.0,180.0,-1217.98,-403.46,3.0,2.0,12.0,4.0,91594760555.0,3.0
1100.0,1100.0,-5291.12,-1463.5,2.0,2.0,40.0,11.0,41622854864.0,7.0
0.0,0.0,-1534.21,-653.07,0.0,0.0,4.0,1.0,97626124314.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63638049957.0,0.0
800.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,96583216157.0,1.0
312.5,312.5,-391.81,-142.47,1.0,1.0,3.0,1.0,26651228960.0,1.0
3258.0,335.0,-468.23,-152.94,6.0,2.0,3.0,1.0,20607571949.0,2.0
200.0,200.0,-234.29,-234.29,1.0,1.0,1.0,1.0,14633824272.0,1.0
500.0,500.0,0.0,0.0,1.0,1.0,0.0,0.0,45627182253.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17615646275.0,0.0
1400.0,1400.0,0.0,0.0,2.0,2.0,0.0,0.0,20646874855.0,2.0
2227.23,1500.0,-5137.59,-2103.23,4.0,2.0,32.0,12.0,14627579152.0,7.0
4093.52,0.0,-731.2,-318.74,1.0,0.0,6.0,3.0,91633710314.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38607116622.0,0.0
255.0,255.0,-300.0,-300.0,1.0,1.0,1.0,1.0,35655083153.0,1.0
650.0,0.0,-911.57,-127.26,1.0,0.0,13.0,2.0,13631622957.0,4.0
0.0,0.0,-255.0,-85.0,0.0,0.0,3.0,1.0,67596105793.0,1.0
0.0,0.0,-184.1,0.0,0.0,0.0,3.0,0.0,45664042867.0,3.0
2500.0,1200.0,-4947.07,-1460.0,2.0,1.0,8.0,3.0,18628797697.0,3.0
2033.0,1097.0,-1705.9499999999998,-496.85,5.0,2.0,12.0,4.0,50623988449.0,5.0
1600.0,0.0,-3924.1099999999997,-1580.4099999999996,2.0,0.0,11.0,4.0,47632961643.0,3.0
905.0,605.0,-352.93,-117.64,5.0,3.0,2.0,1.0,58602084842.0,3.0
15124.98,5055.0,-9357.93,-2358.9199999999996,16.0,4.0,25.0,11.0,52630329572.0,15.0
1250.0,1250.0,-442.37,-86.34,2.0,2.0,6.0,1.0,44661707162.0,3.0
200.0,200.0,-90.78,-90.78,1.0,1.0,1.0,1.0,25596934619.0,1.0
0.0,0.0,-283.68,-94.56,0.0,0.0,6.0,2.0,97608951740.0,1.0
0.0,0.0,-136.88,0.0,0.0,0.0,2.0,0.0,40596754439.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79599529124.0,0.0
1040.0,1040.0,-537.48,-304.78,3.0,3.0,3.0,2.0,57661953244.0,4.0
0.0,0.0,-1145.6399999999999,-381.88,0.0,0.0,3.0,1.0,12596429215.0,1.0
1140.0,1140.0,-419.63000000000005,-164.05,2.0,2.0,3.0,1.0,29594704166.0,2.0
0.0,0.0,-260.82,0.0,0.0,0.0,3.0,0.0,62579967929.0,1.0
575.0,200.0,-337.53,-90.81,3.0,1.0,4.0,1.0,50640765041.0,3.0
325.0,325.0,0.0,0.0,4.0,4.0,0.0,0.0,62665936986.0,2.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41657106516.0,0.0
480.0,0.0,-521.68,-260.84,1.0,0.0,4.0,2.0,46586866378.0,2.0
0.0,0.0,-13.5,-13.5,0.0,0.0,1.0,1.0,56580188630.0,1.0
480.0,480.0,-1287.77,-312.03999999999996,1.0,1.0,12.0,3.0,27601951799.0,3.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38608422010.0,0.0
500.0,500.0,-923.5799999999999,-373.34000000000003,1.0,1.0,16.0,7.0,81642148669.0,4.0
4125.0,1425.0,-3778.5,-2041.7099999999998,4.0,1.0,15.0,8.0,26631619497.0,4.0
1600.0,1600.0,-104.19,-104.19,2.0,2.0,1.0,1.0,23663619221.0,3.0
0.0,0.0,-27.5,-27.5,0.0,0.0,1.0,1.0,45666766262.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38649750666.0,0.0
3236.0,2190.0,-794.6,-716.97,7.0,3.0,6.0,5.0,18606287595.0,6.0
700.0,700.0,-153.54,-153.54,2.0,2.0,2.0,2.0,24667087477.0,2.0
600.0,600.0,-1307.37,-516.13,1.0,1.0,7.0,3.0,83665086262.0,2.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22618124264.0,0.0
563.27,0.0,-892.7,0.0,2.0,0.0,8.0,0.0,30644604857.0,4.0
800.0,0.0,-3833.48,-1362.8,1.0,0.0,19.0,7.0,22605673763.0,4.0
2437.0,402.0,-2186.33,-1087.9099999999999,7.0,2.0,9.0,5.0,68598181210.0,4.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36664440117.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62609000396.0,0.0
650.0,650.0,0.0,0.0,1.0,1.0,0.0,0.0,44644620821.0,1.0
500.0,500.0,-432.0,-432.0,1.0,1.0,1.0,1.0,80659460846.0,2.0
1260.0,1060.0,-908.97,-908.97,5.0,4.0,8.0,8.0,15638178030.0,7.0
550.0,0.0,-451.5,-346.5,2.0,0.0,5.0,4.0,83582176681.0,2.0
800.0,0.0,-268.04,-134.02,1.0,0.0,2.0,1.0,34640468642.0,1.0
600.0,600.0,-117.3,-117.3,1.0,1.0,1.0,1.0,33651467474.0,1.0
0.0,0.0,-89.88,0.0,0.0,0.0,1.0,0.0,40603696912.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23641068640.0,0.0
900.0,300.0,-271.64,-271.64,2.0,1.0,2.0,2.0,43641147925.0,3.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52658616083.0,0.0
1230.47,1230.47,-81.38,-81.38,2.0,2.0,1.0,1.0,11665778956.0,2.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62583300214.0,0.0
3100.0,2600.0,-566.77,-400.64,2.0,1.0,3.0,2.0,15608126134.0,2.0
500.0,500.0,-473.87,-151.29,1.0,1.0,3.0,1.0,18613332955.0,2.0
200.0,200.0,0.0,0.0,1.0,1.0,0.0,0.0,36598015579.0,1.0
1200.0,0.0,-507.24,-281.62,1.0,0.0,3.0,2.0,92662611542.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87602047412.0,0.0
4825.0,2225.0,-2873.9,-1759.2799999999997,5.0,4.0,16.0,12.0,86624463729.0,7.0
1670.16,770.1600000000001,-1046.3,-370.16,4.0,2.0,8.0,2.0,21587142386.0,5.0
600.0,300.0,-449.5,-307.26,2.0,1.0,4.0,3.0,31660974265.0,4.0
1730.0,1130.0,-321.22,-160.61,3.0,2.0,2.0,1.0,11655818783.0,2.0
400.0,0.0,-439.88,-219.94,1.0,0.0,4.0,2.0,28600925767.0,1.0
4200.0,0.0,-7093.619999999999,-2323.11,5.0,0.0,16.0,7.0,70654575574.0,6.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20662567513.0,0.0
650.0,650.0,-974.0,-474.0,1.0,1.0,6.0,2.0,57659753352.0,1.0
1500.0,250.0,-1734.3200000000002,0.0,4.0,1.0,4.0,0.0,44588256748.0,1.0
2110.0,1460.0,-993.79,-783.79,14.0,10.0,7.0,4.0,50612168074.0,5.0
325.0,325.0,-1584.02,-350.34,1.0,1.0,10.0,3.0,24657644996.0,4.0
700.0,0.0,-1339.97,-670.59,2.0,0.0,6.0,2.0,40604404677.0,2.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16636120934.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25618855048.0,0.0
2350.0,1200.0,-932.8299999999999,-620.5699999999999,3.0,1.0,5.0,3.0,17642585862.0,3.0
1450.0,650.0,-407.28,-407.28,2.0,1.0,1.0,1.0,44661324510.0,3.0
